Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2015,...,...,...,...,...,...,...,...,...,...,...
FEB-2015,...,490.00,...,94.00,...,...,...,...,...,...,...
MAR-2015,...,1097.00,...,184.00,...,...,...,60.00,...,17.00,...
ABR-2015,...,810.00,...,80.00,...,...,...,28.00,...,68.00,28.00
MAY-2015,...,1217.00,23.00,336.00,...,...,...,23.00,...,186.00,25.00
JUN-2015,...,1567.00,30.00,175.00,...,...,...,25.00,...,286.00,...
JUL-2015,...,780.00,...,...,...,...,...,...,...,84.00,...
AGO-2015,...,597.00,22.00,25.00,...,...,...,...,...,...,...
SEP-2015,...,1003.00,28.00,179.00,...,...,...,...,...,13.00,...
OCT-2015,...,2058.00,125.00,411.00,...,...,...,29.00,...,111.00,...
NOV-2015,...,1996.00,61.00,272.00,...,...,...,...,...,155.00,...
DIC-2015,...,2264.00,86.00,724.00,...,...,...,61.00,...,508.00,28.00
ENE-2016,...,343.00,...,170.00,...,...,...,71.00,...,53.00,...
FEB-2016,...,316.00,20.00,...,...,...,...,40.00,...,...,...
MAR-2016,...,218.00,76.00,44.00,...,...,...,...,...,41.00,23.00
ABR-2016,...,496.00,41.00,223.00,...,...,...,...,...,612.00,10.00
MAY-2016,...,749.00,268.00,147.00,...,...,...,54.00,...,745.00,21.00
JUN-2016,...,484.00,68.00,223.00,...,...,...,2.00,...,572.00,...
JUL-2016,...,1339.00,191.00,...,...,...,...,...,...,484.00,30.00
AGO-2016,...,901.00,873.00,440.00,...,...,...,...,...,163.00,31.00
SEP-2016,...,1009.00,1050.00,210.00,...,...,...,...,...,117.00,54.00
OCT-2016,...,541.00,540.00,151.00,...,...,...,44.00,...,...,52.00
NOV-2016,...,129.00,108.00,...,...,...,...,...,...,...,89.00
DIC-2016,...,96.00,...,26.00,...,...,...,...,...,182.00,27.00
ENE-2017,...,536.00,44.00,22.00,...,...,...,102.00,...,26.00,19.00
FEB-2017,...,865.00,341.00,65.00,...,...,...,130.00,...,241.00,77.00
MAR-2017,...,1429.00,292.00,47.00,...,...,...,52.00,...,593.00,10.00
ABR-2017,...,1123.00,314.00,200.00,...,...,...,25.00,...,851.00,31.00
MAY-2017,...,922.00,374.00,128.00,...,...,...,31.00,...,1291.00,54.00
JUN-2017,...,1346.00,164.00,268.00,...,...,...,...,...,1576.00,179.00
JUL-2017,...,1039.00,203.00,112.00,...,...,...,66.00,...,967.00,56.00
AGO-2017,...,1296.00,991.00,219.00,...,...,...,...,...,328.00,122.00
SEP-2017,...,595.00,733.00,122.00,...,...,...,...,...,114.00,116.00
OCT-2017,...,529.00,336.00,153.00,...,...,...,...,...,...,128.00
NOV-2017,...,770.00,718.00,191.00,...,...,...,30.00,...,79.00,112.00
DIC-2017,...,106.00,158.00,79.00,...,...,...,...,...,32.00,15.00
ENE-2018,...,365.00,49.00,53.00,...,...,...,22.00,...,236.00,...
FEB-2018,...,1144.00,228.00,156.00,...,...,...,144.00,...,651.00,...
MAR-2018,...,976.00,94.00,354.00,...,...,...,29.00,...,385.00,93.00
ABR-2018,...,703.00,88.00,66.00,...,...,...,...,...,325.00,...
MAY-2018,...,1017.00,102.00,104.00,...,...,...,...,...,774.00,49.00
JUN-2018,...,2264.00,287.00,239.00,...,...,...,...,...,1055.00,71.00
JUL-2018,...,3012.00,134.00,555.00,...,...,...,...,...,1766.00,110.00
AGO-2018,...,497.00,560.00,323.00,...,...,...,...,...,328.00,45.00
SEP-2018,...,1502.00,484.00,343.00,...,...,...,...,...,29.00,119.00
OCT-2018,...,1137.00,266.00,100.00,...,...,...,...,...,259.00,269.00
NOV-2018,...,451.00,152.00,118.00,...,...,...,...,...,109.00,...
DIC-2018,...,...,59.00,...,...,...,...,...,...,...,...
ENE-2019,...,496.00,54.00,163.00,...,...,...,...,...,238.00,92.00
FEB-2019,...,1646.00,...,282.00,...,...,...,51.00,...,540.00,185.00
MAR-2019,...,1132.00,...,186.00,...,...,...,31.00,...,421.00,67.00
ABR-2019,22.00,2136.00,91.00,154.00,...,...,...,...,...,701.00,96.00
MAY-2019,...,2629.00,322.00,674.00,...,...,...,...,...,2230.00,286.00
JUN-2019,...,2548.00,258.00,386.00,...,...,...,...,...,2056.00,149.00
JUL-2019,...,1137.00,237.00,199.00,...,...,...,...,...,746.00,114.00
AGO-2019,...,979.00,383.00,181.00,...,...,...,...,...,89.00,548.00
SEP-2019,...,1507.00,544.00,49.00,...,...,...,...,...,122.00,222.00
OCT-2019,...,828.00,209.00,122.00,...,...,...,...,...,88.00,157.00
NOV-2019,...,440.00,296.00,76.00,...,...,...,...,...,250.00,291.00
DIC-2019,...,979.00,97.00,80.00,...,...,...,...,...,387.00,325.00
ENE-2020,...,1620.00,56.00,276.00,...,...,...,31.00,...,590.00,370.00
FEB-2020,...,2329.00,175.00,222.00,...,...,...,...,...,844.00,284.00
MAR-2020,...,1274.00,222.00,...,...,...,...,...,...,494.00,207.00
ABR-2020,...,344.00,...,32.00,...,...,...,...,...,63.00,...
MAY-2020,...,1588.00,129.00,170.00,...,...,...,...,...,115.00,265.00
